date,pm2.5,pm10,temp,humidity
2019.9.16 18:55,3,3,25.6,52.8
2019.9.16 18:55,3,3,25.6,52.7
2019.9.16 18:55,3,3,25.6,52.7
2019.9.16 18:55,3,3,25.6,52.6
2019.9.16 18:55,3,3,25.7,52.6
2019.9.16 18:55,2,2,25.6,52.5
2019.9.16 18:55,2,2,25.6,52.5
2019.9.16 18:56,2,2,25.7,52.6
2019.9.16 18:56,2,2,25.6,52.5
2019.9.16 18:56,3,3,25.7,52.6
2019.9.16 18:56,3,3,25.7,52.7
2019.9.16 18:56,2,2,25.6,52.6
2019.9.16 18:56,2,2,25.6,52.7
2019.9.16 18:56,3,3,25.7,52.7
2019.9.16 18:56,3,3,25.7,52.7
2019.9.16 18:56,2,2,25.6,52.7
2019.9.16 18:56,2,2,25.7,52.7
2019.9.16 18:56,3,5,25.7,52.6
2019.9.16 18:56,3,5,25.6,52.4
2019.9.16 18:57,3,5,25.6,52.3
2019.9.16 18:57,3,5,25.6,52.3
2019.9.16 18:57,2,4,25.7,52.3
2019.9.16 18:57,2,4,25.7,52.4
2019.9.16 18:57,3,6,25.7,52.5
2019.9.16 18:57,3,6,25.7,52.6
2019.9.16 18:57,2,3,25.7,52.6
2019.9.16 18:57,2,3,25.7,52.6
2019.9.16 18:57,2,3,25.7,52.6
2019.9.16 18:57,2,3,25.7,52.6
2019.9.16 18:57,2,3,25.7,52.6
2019.9.16 18:57,2,3,25.7,52.4
2019.9.16 18:58,1,3,25.7,52.4
2019.9.16 18:58,1,3,25.6,52.3
2019.9.16 18:58,2,2,25.7,52.3
2019.9.16 18:58,2,2,25.7,52.3
2019.9.16 18:58,2,4,25.6,52.3
2019.9.16 18:58,2,4,25.7,52.3
2019.9.16 18:58,4,5,25.7,52.3
2019.9.16 18:58,4,5,25.7,52.4
2019.9.16 18:58,4,5,25.7,52.4
2019.9.16 18:58,4,5,25.7,52.4
2019.9.16 18:58,3,3,25.6,52.3
2019.9.16 18:59,3,3,25.7,52.3
2019.9.16 18:59,2,2,25.7,52.3
2019.9.16 18:59,2,2,25.6,52.3
2019.9.16 18:59,3,3,25.7,52.4
2019.9.16 18:59,3,3,25.7,52.4
2019.9.16 18:59,3,3,25.7,52.4
2019.9.16 18:59,3,3,25.7,52.4
2019.9.16 18:59,3,3,25.7,52.4
2019.9.16 18:59,3,3,25.7,52.5
2019.9.16 18:59,3,3,25.7,52.5
2019.9.16 18:59,3,3,25.7,52.6
2019.9.16 18:59,3,3,25.7,52.6
