datetime,pm2.5,pm10,temperature,humidity
2020-12-11 09:43:03,31,35,21.4,29.5
2020-12-11 09:43:09,31,37,21.4,29.5
2020-12-11 09:43:14,29,34,21.4,29.5
2020-12-11 09:43:19,29,34,21.4,29.5
2020-12-11 09:43:25,29,36,21.4,29.5
2020-12-11 09:43:30,29,36,21.4,29.5
2020-12-11 09:43:35,32,41,21.4,29.5
2020-12-11 09:43:41,32,41,21.4,29.5
2020-12-11 09:43:46,34,42,21.4,29.5
2020-12-11 09:43:51,33,38,21.5,29.5
2020-12-11 09:43:57,31,35,21.5,29.5
2020-12-11 09:44:02,31,32,21.5,29.5
2020-12-11 09:44:08,32,40,21.4,29.5
2020-12-11 09:44:13,32,39,21.4,29.5
2020-12-11 09:44:18,31,39,21.4,29.6
2020-12-11 09:44:24,31,40,21.5,29.6
2020-12-11 09:44:29,31,40,21.5,29.6
2020-12-11 09:44:34,31,40,21.5,29.6
2020-12-11 09:44:40,29,38,21.5,29.6
2020-12-11 09:44:45,29,40,21.5,29.6
2020-12-11 09:44:50,28,36,21.5,29.6
2020-12-11 09:44:56,29,36,21.5,29.6
2020-12-11 09:45:01,32,37,21.5,29.6
2020-12-11 09:45:07,33,40,21.5,29.5
2020-12-11 09:45:12,33,41,21.5,29.5
2020-12-11 09:45:18,32,36,21.5,29.5
2020-12-11 09:45:23,31,36,21.5,29.5
2020-12-11 09:45:28,30,35,21.5,29.5
2020-12-11 09:45:34,31,33,21.5,29.6
2020-12-11 09:45:39,31,33,21.5,29.6
2020-12-11 09:45:45,29,35,21.5,29.6
2020-12-11 09:45:50,29,35,21.5,29.6
2020-12-11 09:45:56,33,36,21.5,29.5
2020-12-11 09:46:01,35,38,21.5,29.5
2020-12-11 09:46:07,38,49,21.5,29.5
2020-12-11 09:46:12,34,44,21.5,29.5
2020-12-11 09:46:17,33,41,21.5,29.5
2020-12-11 09:46:22,32,41,21.5,29.5
2020-12-11 09:46:28,32,42,21.5,29.5
2020-12-11 09:46:33,30,40,21.5,29.5
2020-12-11 09:46:39,34,39,21.5,29.5
2020-12-11 09:46:44,34,39,21.5,29.4
2020-12-11 09:46:50,30,37,21.5,29.5
2020-12-11 09:46:55,29,36,21.5,29.5
2020-12-11 09:47:00,29,36,21.5,29.5
2020-12-11 09:47:06,28,34,21.5,29.5
